sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
3,Crescent School Of Nursing,"Crescent School Of Nursing, D.No.5/152,5/153,5/153A, Ravindra Nagar, , Vill.- Kadapa, Tehsil- Cuddapah, Distt.- Ysr, Andhra Pradesh, Pin Code- 516003",Dada Khalandaria Muslim Minorities Educational And Welfare Society,Ysr,Andhra Pradesh,Private,GNM,45 (Forty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
3,Crescent School Of Nursing,"Crescent School Of Nursing, D.No.5/152,5/153,5/153A, Ravindra Nagar, , Vill.- Kadapa, Tehsil- Cuddapah, Distt.- Ysr, Andhra Pradesh, Pin Code- 516003",Dada Khalandaria Muslim Minorities Educational And Welfare Society,Ysr,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
4,Dileef School Of Nursing,"Dileef School Of Nursing, Talpagiri Colony,Vedayapalem, Vill.- Nellore, Tehsil- Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524004",Dileef Minorities Educational Academy,Nellore,Andhra Pradesh,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
4,Dileef School Of Nursing,"Dileef School Of Nursing, Talpagiri Colony,Vedayapalem, Vill.- Nellore, Tehsil- Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524004",Dileef Minorities Educational Academy,Nellore,Andhra Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
4,Dileef School Of Nursing,"Dileef School Of Nursing, Talpagiri Colony,Vedayapalem, Vill.- Nellore, Tehsil- Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524004",Dileef Minorities Educational Academy,Nellore,Andhra Pradesh,Private,P B B.Sc(N),20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
5,Dr Helen College Of Nursing,"Dr Helen College Of Nursing,, C S I Campbell Hospital, , Vill.- Jammalamadugu, Tehsil- Jammalamadugu, Distt.- Ysr, Andhra Pradesh, Pin Code- 516434",Church Of South India Trust Association,Ysr,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
6,Dr Rajasekhar Reddy School Of Nursing,"Dr Rajasekhar Reddy School Of Nursing,, C S R Bhavan, Laxmi Venkatarama Kalyanamandpam Street,Vedayapalem, Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524004",Holy Trinity Educational Society,Nellore,Andhra Pradesh,Private,GNM,45 (Forty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
7,Dr. Anjireddy School Of Nursing,"Dr. Anjireddy School Of Nursing, D. No. 10-4, Guntur Road, Kubadupuram, Kotanemalipuri, Piduguralla, Distt.- Palnadu, Andhra Pradesh, Pin Code- 522413",Dr. Anjireddy Charitable And Educational Trust,Palnadu,Andhra Pradesh,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
7,Dr. Anjireddy School Of Nursing,"Dr. Anjireddy School Of Nursing, D. No. 10-4, Guntur Road, Kubadupuram, Kotanemalipuri, Piduguralla, Distt.- Palnadu, Andhra Pradesh, Pin Code- 522413",Dr. Anjireddy Charitable And Educational Trust,Palnadu,Andhra Pradesh,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
8,Dr. B R Ambedkar School Of Nursing,"Dr. B R Ambedkar School Of Nursing, 16-126, Dowlaiswaram, Dowlaiswaram, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533125",Dr. B R Ambedkar Health And Educational Society,East Godavari,Andhra Pradesh,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
9,Dr. C Sobhanadri Siddhartha College Of Nursing,"Dr. C Sobhanadri Siddhartha College Of Nursing, Chinoutapalli Post, Gannavaram Mandal, Vijayawada, Distt.- Krishna, Andhra Pradesh, Pin Code- 521286",Siddhartha Academy Of General Technical Education,Krishna,Andhra Pradesh,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
10,Dr. C. Sobhanadri Siddhartha School Of Nursing,"Dr. C. Sobhanadri Siddhartha School Of Nursing, Chinnoutpalli Post Gannavaram Mandal, Gannavaram , Distt.- Krishna, Andhra Pradesh, Pin Code- 521286",Siddhartha Academy Of General Technnical Education,Krishna,Andhra Pradesh,Private,GNM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
11,Dr. Mallela Ramaiah College Of Nursing,"Dr. Mallela Ramaiah College Of Nursing, 16/2884, C/O Jayabharat Hospital, Somasekharapuram, Vill.- Nellore, Tehsil- Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524003",Simhapuri Vydya Seva Samithi,Nellore,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
12,Durga College Of Nursing,"Durga College Of Nursing, Chaithanyapuri, Vedayapalem; Nellore, Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524004",Sri Durga Educational Society,Nellore,Andhra Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
13,Emmi College Of Nursing,"Emmi College Of Nursing, 10-23/10, Huber Campus, Deenapur , Vill.- Phirangipuram, Tehsil- Phirangipuram, Distt.- Guntur, Andhra Pradesh, Pin Code- 522529",Rural Institute For Community Education,Guntur,Andhra Pradesh,Private,B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
13,Emmi College Of Nursing,"Emmi College Of Nursing, 10-23/10, Huber Campus, Deenapur , Vill.- Phirangipuram, Tehsil- Phirangipuram, Distt.- Guntur, Andhra Pradesh, Pin Code- 522529",Rural Institute For Community Education,Guntur,Andhra Pradesh,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
14,Enlight School Of Nursing,"Enlight School Of Nursing, 12- A, K B Layout, Behind Maternity Hospital, Tirupathi, Distt.- Chittoor, Andhra Pradesh, Pin Code- 517507",Enlight Edcational Society,Chittoor,Andhra Pradesh,Private,GNM,45 (FORTY FIVE),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
15,Evangeline Booth College Of Nursing,"Evangeline Booth College Of Nursing, G B C Road, , Guntur, Distt.- Guntur, Andhra Pradesh, Pin Code- 522124",The Salvation Army,Guntur,Andhra Pradesh,Private,GNM,45 (Forty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
15,Evangeline Booth College Of Nursing,"Evangeline Booth College Of Nursing, G B C Road, , Guntur, Distt.- Guntur, Andhra Pradesh, Pin Code- 522124",The Salvation Army,Guntur,Andhra Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
16,Fathima School Of Nursing,"Fathima School Of Nursing, 20/448 Madras Road , Kadapa, Distt.- Ysr, Andhra Pradesh, Pin Code- 516001",Navajeevan Hospital And Educational Society,Ysr,Andhra Pradesh,Private,GNM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
17,Florence Nightingale Modern Degree College For Women,"Florence Nightingale Modern Degree College For Women, Madras Road, Buddayapalle (Po), Kadapa, Distt.- Ysr, Andhra Pradesh, Pin Code- 516002",Sriniwasa Educational And Rural Development Society,Ysr,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
18,Florence Nightingale School Of Nursing,"Florence Nightingale School Of Nursing, Gurunanaknagar Road Besides State Bank Of Hyderabad,Patamata, Vijayawada, Distt.- Krishna, Andhra Pradesh, Pin Code- 520008",Sibar Educational Academy,Krishna,Andhra Pradesh,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
19,Florence Nightingale School Of Nursing,"Florence Nightingale School Of Nursing, Srinagar, Kakinada, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533003",Sarojini Educational Society,East Godavari,Andhra Pradesh,Private,GNM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
20,G I T A M Institute Of Nursing,"G I T A M Institute Of Nursing, Gandhi Nagar Campus , Vill.- Rushikonda, Tehsil- Visakhapatnam(U), Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 530045",Gandhi Institute Of Technology And Management University,Visakhapatnam,Andhra Pradesh,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
21,G S L College Of Nursing,"G S L College Of Nursing, G S L Medical Dental College Campus Nh 16 Venkatapuram, Rajanagaram, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533296",G S L Educational Society,East Godavari,Andhra Pradesh,Private,B.Sc(N),100 (Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
21,G S L College Of Nursing,"G S L College Of Nursing, G S L Medical Dental College Campus Nh 16 Venkatapuram, Rajanagaram, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533296",G S L Educational Society,East Godavari,Andhra Pradesh,Private,M. Sc (N),"20; Med-Surg-10, Psy-5, Chn-5",2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
21,G S L College Of Nursing,"G S L College Of Nursing, G S L Medical Dental College Campus Nh 16 Venkatapuram, Rajanagaram, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533296",G S L Educational Society,East Godavari,Andhra Pradesh,Private,P B B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
21,G S L College Of Nursing,"G S L College Of Nursing, G S L Medical Dental College Campus Nh 16 Venkatapuram, Rajanagaram, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533296",G S L Educational Society,East Godavari,Andhra Pradesh,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:57.461126
