sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,sector,programme,annual_intake,state,academic_year,page_number,extraction_timestamp,source_url
1,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,Post Basic Diploma in Haematology (including stem cell transplant) Nursing-Residency Programme,10 (Ten),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
1,School Of Nursing,"School Of Nursing, Army Hospital Research & Referral, Army Hospital Research And Referral, , New Delhi, Distt.- South West Delhi, Delhi, Pin Code- 110010",Government Of Delhi,South West Delhi,Government,Post Basic Diploma in Burns & Reconstructive Surgery Nursing-Residency Programme,10 (Ten),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,Shakuntla School Of Nursing,"Shakuntla School Of Nursing, Jaunti-Garhi, Randhala Road, Vill.- Jaunti, Tehsil- Khanjhawala, Distt.- North West Delhi, Delhi, Pin Code- 110081",S S Health Education Private Limited,North West Delhi,Private,ANM,50 (Fifty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,Shakuntla School Of Nursing,"Shakuntla School Of Nursing, Jaunti-Garhi, Randhala Road, Vill.- Jaunti, Tehsil- Khanjhawala, Distt.- North West Delhi, Delhi, Pin Code- 110081",S S Health Education Private Limited,North West Delhi,Private,GNM,50 (Fifty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
2,Shakuntla School Of Nursing,"Shakuntla School Of Nursing, Jaunti-Garhi, Randhala Road, Vill.- Jaunti, Tehsil- Khanjhawala, Distt.- North West Delhi, Delhi, Pin Code- 110081",S S Health Education Private Limited,North West Delhi,Private,B.Sc(N),50 (Fifty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
3,Sir Ganga Ram Hospital,"Sir Ganga Ram Hospital, , New Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110060",Sir Ganga Ram Trust,Central Delhi,Private,GNM,40 (Forty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
4,Smt Janaki Rani Talwar School Of Nursing,"Smt Janaki Rani Talwar School Of Nursing, Lajpat Nagar Iii,, Delhi , Distt.- South Delhi, Delhi, Pin Code- 110024",Moolchand Kharaiti Ram Trust,South Delhi,Private,GNM,30 (Thirty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
5,Sushila School Of Nursing,"Sushila School Of Nursing, Plot No. 109 Gali No. 9 Gautam Colony, Narela, Distt.- North Delhi, Delhi, Pin Code- 110040",Sushila Medical Education Society,North Delhi,Private,ANM,30 (Thirty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
5,Sushila School Of Nursing,"Sushila School Of Nursing, Plot No. 109 Gali No. 9 Gautam Colony, Narela, Distt.- North Delhi, Delhi, Pin Code- 110040",Sushila Medical Education Society,North Delhi,Private,GNM,60 (Sixty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
6,Tirath Ram Shah Hospital,"Tirath Ram Shah Hospital, 2, R B L Isher Das Sawhney Marg, Vill.- Delhi, Tehsil- Model Town, Distt.- North Delhi, Delhi, Pin Code- 110054",Tirath Ram Shah Charitable Trust,North Delhi,Private,GNM,30 (Thirty),Delhi,2025-2026,3,2026-09-11T10:44:19.385248,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
