sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
5,College Of Nursing,"College Of Nursing, Vimsar, Burla, Distt.- Sambalpur, Orissa, Pin Code- 768017",Odisha,Sambalpur,Orissa,Government,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
6,Dhaneswar School Of Nursing,"Dhaneswar School Of Nursing, At- Maitree Vihar, Link Road, Po- Arunodaya Market, Cuttack, Cuttack , Distt.- Cuttack, Orissa, Pin Code- 753012",Dhaneswar Memorial Educational Trust,Cuttack,Orissa,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
7,Dibya College Of Nursing,"Dibya College Of Nursing, At- Mishrapara, Angul, Distt.- Angul, Orissa, Pin Code- 759122",Geetanjali Foundation Trust,Angul,Orissa,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
8,Dox Orland School Of Nursing,"Dox Orland School Of Nursing, Church Square, Jail Road, Keonjhar, Distt.- Kendujhar, Orissa, Pin Code- 758001",Keonjhar Charitable Education Rural Health Research Trust,Kendujhar,Orissa,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
9,Dr Ambedakar Institute Of Medical Science,"Dr Ambedakar Institute Of Medical Science, At/P0- Jagda, Rourkela, Distt.- Sundargarh, Orissa, Pin Code- 769042",Dr Ambedkar Memorial Social Welfare And Educational Trust,Sundargarh,Orissa,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
9,Dr Ambedakar Institute Of Medical Science,"Dr Ambedakar Institute Of Medical Science, At/P0- Jagda, Rourkela, Distt.- Sundargarh, Orissa, Pin Code- 769042",Dr Ambedkar Memorial Social Welfare And Educational Trust,Sundargarh,Orissa,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
9,Dr Ambedakar Institute Of Medical Science,"Dr Ambedakar Institute Of Medical Science, At/P0- Jagda, Rourkela, Distt.- Sundargarh, Orissa, Pin Code- 769042",Dr Ambedkar Memorial Social Welfare And Educational Trust,Sundargarh,Orissa,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
9,Dr Ambedakar Institute Of Medical Science,"Dr Ambedakar Institute Of Medical Science, At/P0- Jagda, Rourkela, Distt.- Sundargarh, Orissa, Pin Code- 769042",Dr Ambedkar Memorial Social Welfare And Educational Trust,Sundargarh,Orissa,Private,B.Sc(N),143 (One Hundred Forty Three),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
9,Dr Ambedakar Institute Of Medical Science,"Dr Ambedakar Institute Of Medical Science, At/P0- Jagda, Rourkela, Distt.- Sundargarh, Orissa, Pin Code- 769042",Dr Ambedkar Memorial Social Welfare And Educational Trust,Sundargarh,Orissa,Private,M. Sc (N),30 (Thirty) Med Surg-06 Obg-06 Psy-06 Paed-06 Chn-06,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
9,Dr Ambedakar Institute Of Medical Science,"Dr Ambedakar Institute Of Medical Science, At/P0- Jagda, Rourkela, Distt.- Sundargarh, Orissa, Pin Code- 769042",Dr Ambedkar Memorial Social Welfare And Educational Trust,Sundargarh,Orissa,Private,P B B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
11,Gajapati School Of Nursing,"Gajapati School Of Nursing,, Techno Park, Ranipeta, Paralakhemundi, Gajapati , Paralakhemundi, Distt.- Gajapati, Orissa, Pin Code- 761201",J P Educational Trust,Gajapati,Orissa,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
11,Gajapati School Of Nursing,"Gajapati School Of Nursing,, Techno Park, Ranipeta, Paralakhemundi, Gajapati , Paralakhemundi, Distt.- Gajapati, Orissa, Pin Code- 761201",J P Educational Trust,Gajapati,Orissa,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
12,General Nursing Midwifery Training School,"General Nursing Midwifery Training School, G N M T School Central Hospital Ib Valley Area , Brajrajnagar, Distt.- Jharsuguda, Orissa, Pin Code- 768216",Mahanadi Medical Education Trust,Jharsuguda,Orissa,Private,GNM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
13,General Nursing And Midwifery Training School,"General Nursing And Midwifery Training School, General Nursing Midwifery Training School, N S Central Hospital,Po-Dera , Talcher, Dist-Angul,State - Odisha , Pin Code - 759103 , Talcher, Distt.","Mahanadi Coalfield Ltd. Gnmt School,Nsch,Talcher",Angul,Orissa,Government,GNM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
14,Gitanjali School Of Nursing,"Gitanjali School Of Nursing, Plot No-897, Talagada , Bhubaneswar, Distt.- Khordha, Orissa, Pin Code- 751015",Rani Sukadei Nari Sangathan,Khordha,Orissa,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
14,Gitanjali School Of Nursing,"Gitanjali School Of Nursing, Plot No-897, Talagada , Bhubaneswar, Distt.- Khordha, Orissa, Pin Code- 751015",Rani Sukadei Nari Sangathan,Khordha,Orissa,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
15,Gopabandhu Institute Of Medical Sci. Research,"Gopabandhu Institute Of Medical Sci. Research, At-Madhabpur, P.O.-Mahakalabasta, Via-Athagarh, Athagarh , Distt.- Cuttack, Orissa, Pin Code- 754029",Servants Of People Society,Cuttack,Orissa,Private,ANM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
15,Gopabandhu Institute Of Medical Sci. Research,"Gopabandhu Institute Of Medical Sci. Research, At-Madhabpur, P.O.-Mahakalabasta, Via-Athagarh, Athagarh , Distt.- Cuttack, Orissa, Pin Code- 754029",Servants Of People Society,Cuttack,Orissa,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:40.701871
1,Gopabandhu Institute Of Medical Sci. Research,"Gopabandhu Institute Of Medical Sci. Research, At-Madhabpur, P.O.-Mahakalabasta, Via-Athagarh, Athagarh , Distt.- Cuttack, Orissa, Pin Code- 754029",Servants Of People Society,Cuttack,Orissa,Private,B.Sc(N),40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
2,Gopinath Gnm Training College,"Gopinath Gnm Training College, At/Po: Godfula , Nuapada , Distt.- Nuapada, Orissa, Pin Code- 766105",Jana Jagaran Manch,Nuapada,Orissa,Private,GNM,50 (Fifty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
3,Goverment College Of Nursing District Head Quarter Hospital Dhenkanal,"Goverment College Of Nursing District Head Quarter Hospital Dhenkanal, At- Khamarasahi ( Near Police Barak) , Po- Dhenkanal , Dist- Dhenkanal, Dhenkanal, Distt.- Dhenkanal, Orissa, Pin Code- 75900",Orissa,Dhenkanal,Orissa,Government,Upgraded College of Nursing,60 (Sixty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
4,Government Anm Training Centre,"Government Anm Training Centre, Government Anm Training Center,At:Po Barijhola, Rayagada, Distt.- Rayagada, Orissa, Pin Code- 765002",Odisha State Government,Rayagada,Orissa,Government,ANM,20 (Twenty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
5,Govt College Of Nursing Sundargarh,"Govt College Of Nursing Sundargarh, At-Luhuradhipa Po--Maheshdihi Dist-Sundargarh, Sundargarh, Distt.- Sundargarh, Orissa, Pin Code- 770001",Orissa,Sundargarh,Orissa,Government,Upgraded College of Nursing,60 (Sixty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
6,Govt Headquarters Hospital,"Govt Headquarters Hospital, Anmtc Keonjhar, Dhh Keonjhar, Odisha, Pin-758001 , Keonjhar, Distt.- Kendujhar, Orissa, Pin Code- 758001",Na,Kendujhar,Orissa,Government,ANM,40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
7,Govt Sub-Divisional Hospital,"Govt Sub-Divisional Hospital, Main Road Jeypore Near Jagat Janani Temple Po- Jeypore Ps-Jeypore Dist-Koraput Orissa , Jeypore, Distt.- Koraput, Orissa, Pin Code- 764001",Orissa,Koraput,Orissa,Government,ANM,40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
8,Govt. A N M Training Centre,"Govt. A N M Training Centre, Malkangiri, At- Dhh Malkangiri Main Road Po- Malkangiri, Dist- Malkangiri., Malkangiri, Distt.- Malkanagiri, Orissa, Pin Code- 764045",Odisha,Malkanagiri,Orissa,Government,ANM,50 (Fifty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
9,Govt. College Of Nursing,"Govt. College Of Nursing, Kandhamal, Dhh Campus Phulbanikandhamal, Phulbani, Distt.- Kandhamal, Orissa, Pin Code- 762001",Principal Secretary To Health,Kandhamal,Orissa,Government,Upgraded College of Nursing,50 (Fifty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:50.105810
