inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Haryana|Jhajjar|MAHARAJA AGRASEN NURSING COLLEGE,Maharaja Agrasen Nursing College,"Maharaja Agrasen Nursing College, Jhajjar Road, Vill.- Nuna Majra, Tehsil- Bahadurgarh, Distt.- Jhajjar, Haryana, Pin Code- 124507",Maharaja Agrasen Hospital Charitable Trust,Jhajjar,Haryana,Private,GNM | B.Sc(N),50 (Fifty) | 50 (Fifty),100,124507,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
Haryana|Hissar|MAHARISHI DAYANAND INSTITUTE OF NURSING,Maharishi Dayanand Institute Of Nursing,"Maharishi Dayanand Institute Of Nursing, V.P.O Chaudharywas , Hissar, Distt.- Hissar, Haryana, Pin Code- 125001",Shaheed Bhagat Singh Sewarth Trust,Hissar,Haryana,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),40 (Forty) | 40 (Forty) | 50 (Fifty) | 25 (Twenty Five) 05 Each Subject | 20 (Twenty),175,125001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Ambala|MAHARISHI MARKENDESWAR COLLEGE OF NURSING,Maharishi Markendeswar College Of Nursing,"Maharishi Markendeswar College Of Nursing, On Ambala To Jagadhari Road , Mullana, Distt.- Ambala, Haryana, Pin Code- 133207",Maharishi Markandeshwar University,Ambala,Haryana,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N),"300 (Three Hundred) | 30 (Thirty) Med-Surg-6, Chn-6, Psy-6, Obg-6,Paed-6 | 30 (Thirty)",360,133207,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Fatehabad|MANAV LAKSHYA SCHOOL OF NURSING,Manav Lakshya School Of Nursing,"Manav Lakshya School Of Nursing, Near Radha Swami Satsung Ghar, Fatehabad Road, Vill.- Bhuna, Tehsil- Bhuna, Distt.- Fatehabad, Haryana, Pin Code- 125111",Lala Kundan Lal Memorial Society,Fatehabad,Haryana,Private,GNM | ANM,30 (Thirty) | 40 (Forty),70,125111,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Sirsa|MATA SHANTI DEVI INSTITUTE OF NURSING,Mata Shanti Devi Institute Of Nursing,"Mata Shanti Devi Institute Of Nursing, Odhan Road, Kalanwali, Distt.- Sirsa, Haryana, Pin Code- 125201",Shaheed Bhagat Singh Social Welfare Trust,Sirsa,Haryana,Private,ANM | GNM,30 (Thirty) | 60 (Sixty),90,125201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Gurgaon|MULTIPURPOSE WORKER'S FEMALE TRAINING CENTRE,Multipurpose Worker's Female Training Centre,"Multipurpose Worker's Female Training Centre, Govt Anm Training Center, Sector 31, Near Ajanta Public School , Gurugram, Distt.- Gurgaon, Haryana, Pin Code- 122001",Government Of Haryana,Gurgaon,Haryana,Government,ANM,25 (Twenty Five),25,122001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Hissar|NATIONAL NURSING INSTITUTE,National Nursing Institute,"National Nursing Institute, Sector 9 & 11, Hisar-I, Distt.- Hissar, Haryana, Pin Code- 125005",Haryana Technical Education Society,Hissar,Haryana,Private,GNM,40 (Forty),40,125005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Hissar|NATIONAL SCHOOL OF NURSING,National School Of Nursing,"National School Of Nursing, Dhani Garan Road, Barwala, Distt.- Hissar, Haryana, Pin Code- 125121",S D Educational Society,Hissar,Haryana,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),30 (Thirty) | 40 (Forty) | 50 (Fifty) | 20 (Twenty) Med Surg-5 Obg-5 Paed-5 Chn-5 | 30 (Thirty),170,125121,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Fatehabad|NATIONAL SCHOOL OF NURSING,National School Of Nursing,"National School Of Nursing, V P O - Daryapur, Fatehabad, Distt.- Fatehabad, Haryana, Pin Code- 125050",National School Of Medical Sciences Welfare Society,Fatehabad,Haryana,Private,ANM | GNM,30 (Thirty) | 40 (Forty),70,125050,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Rohtak|NEKI RAM NURSING COLLEGE,Neki Ram Nursing College,"Neki Ram Nursing College, Vpo Lakhan Majra , Lakhan Majra, Distt.- Rohtak, Haryana, Pin Code- 124514",Neki Ram Educational Society,Rohtak,Haryana,Private,GNM | ANM,40 (Forty) | 30 (Thirty),70,124514,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Jhajjar|P D M COLLEGE OF NURSING,P D M College Of Nursing,"P D M College Of Nursing, Sector- 3A, Sarai Aurangabad, Bahadurgarh, Distt.- Jhajjar, Haryana, Pin Code- 124507",P D M University,Jhajjar,Haryana,Private,B.Sc(N),30 (Thirty),30,124507,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Kaithal|PARAMJYOTI SCHOOL OF NURSING,Paramjyoti School Of Nursing,"Paramjyoti School Of Nursing, Cheeka Road , Siwan, Distt.- Kaithal, Haryana, Pin Code- 136033",Lord Shiva Technical Education Society,Kaithal,Haryana,Private,ANM | GNM,20 (Twenty) | 50 (Fifty),70,136033,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Jhajjar|PARAMOUNT SCHOOL OF NURSING,Paramount School Of Nursing,"Paramount School Of Nursing, Chhuchhakwas , Jhajjar, Distt.- Jhajjar, Haryana, Pin Code- 124106",Paramount Education Society,Jhajjar,Haryana,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,124106,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:42.366317
Haryana|Ambala|PHILADELPHIA HOSPITAL,Philadelphia Hospital,"Philadelphia Hospital, Post Box No. 40, Near Arya Chowk, Ambala, Distt.- Ambala, Haryana, Pin Code- 134002",Society Of Philadelphia Hospital Of The Diocese,Ambala,Haryana,Private,GNM,40 (Forty),40,134002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:50.420042
Haryana|Bhiwani|PHOGAT NURSING SCHOOL,Phogat Nursing School,"Phogat Nursing School, Near Thakural Public School, Pilani Road, Loharu, Distt.- Bhiwani, Haryana, Pin Code- 127201",Sahil Education Society,Bhiwani,Haryana,Private,ANM,30 (Thirty),30,127201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:50.420042
Haryana|Mahendragarh|R D R JANSEWA SCHOOL OF NURSING,R D R Jansewa School Of Nursing,"R D R Jansewa School Of Nursing, Behind Power House, Near Degree College, Kanina, Distt.- Mahendragarh, Haryana, Pin Code- 123027",R D R Jansewa Shksha Samiti,Mahendragarh,Haryana,Private,GNM,40 (Forty),40,123027,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:50.420042
Haryana|Karnal|R P INDERAPRASTHA INSTITUTE OF MEDICAL SCIENCES,R P Inderaprastha Institute Of Medical Sciences,"R P Inderaprastha Institute Of Medical Sciences, Nh-1, G.T. Road, Vill.- Bastara, Tehsil- Gharaunda, Distt.- Karnal, Haryana, Pin Code- 132114",R P Educational Trust,Karnal,Haryana,Private,ANM | GNM | B.Sc(N) | P B B.Sc(N),30 (Thirty) | 30 (Thirty) | 40 (Forty) | 30 (Thirty),130,132114,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:50.420042
