inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Madhya Pradesh|Dhar|GOVT. MULTIPURPOSE FEMALE HEALTH WORKERS',Govt. Multipurpose Female Health Workers',"Govt. Multipurpose Female Health Workers', Govt. Multipurpose Female Health Workers' School (Distt Hosp), Dhar Khande Rao Tekari, Dhar, Distt.- Dhar, Madhya Pradesh, Pin Code- 454001",Mp,Dhar,Madhya Pradesh,Government,ANM,55 (Fifty Five),55,454001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Jabalpur|GOVT. NURSING COLLEGE,Govt. Nursing College,"Govt. Nursing College, Netaji Subhash Chandra Bose College Of Nursing, Government Medical College Hospital, Jabalpur, Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482003",Madhya Pradesh,Jabalpur,Madhya Pradesh,Government,B.Sc(N) | M. Sc (N) | P B B.Sc(N),120 (One Hundred Twenty) | 50 (Fifty) | 60 (Sixty),230,482003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Balaghat|GRACIOUS COLLEGE OF NURSING,Gracious College Of Nursing,"Gracious College Of Nursing, Opp. Balaghat Hospital,Bhatera Road, Balaghat, Distt.- Balaghat, Madhya Pradesh, Pin Code- 481001",Anudish Sansthan,Balaghat,Madhya Pradesh,Private,B.Sc(N) | P B B.Sc(N),40 (Forty) | 30 (Thirty),70,481001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Dewas|GYANODAYA INSTITUTE OF PROFESSIONAL STUDIES DEWAS,Gyanodaya Institute Of Professional Studies Dewas,"Gyanodaya Institute Of Professional Studies Dewas, 300/2 Mendki Chak Road,Dewas, Dewas, Distt.- Dewas, Madhya Pradesh, Pin Code- 455001",Parasram Chourasia Education Society Dewas,Dewas,Madhya Pradesh,Private,B.Sc(N) | GNM,20 (Twenty) | 40 (Forty),60,455001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Gwalior|I C INSTITUTE OF WOMEN HEALTH WORKER,I C Institute Of Women Health Worker,"I C Institute Of Women Health Worker, Sagar Tal Road, Bahodapur, Gwalior, Distt.- Gwalior, Madhya Pradesh, Pin Code- 474012",Ku Divya Bahuuddesiya Shiksha Prasar Evam Samaj Kalyan Samiti,Gwalior,Madhya Pradesh,Private,ANM,40 (Forty),40,474012,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Sehore|IES COLLEGE OF NURSING,Ies College Of Nursing,"Ies College Of Nursing , Near Itcchaupal Bhopal Indore Bypass Roadrafiqueganj Sehore 466001, Sehore, Distt.- Sehore, Madhya Pradesh, Pin Code- 466001",Infotech Education Society,Sehore,Madhya Pradesh,Private,P B B.Sc(N) | B.Sc(N) | GNM,20 (Twenty) | 40 (Forty) | 40 (Forty),100,466001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Bhopal|IES COLLEGE OF NURSING,Ies College Of Nursing,"Ies College Of Nursing, Ies Campus Ratibad Main Road Bhopal, Bhopal, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462044",Infotech Education Society,Bhopal,Madhya Pradesh,Private,P B B.Sc(N) | B.Sc(N) | GNM,20 (Twenty) | 60 (Sixty) | 40 (Forty),120,462044,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Indore|INDEX SCHOOL OF NURSING,Index School Of Nursing,"Index School Of Nursing, Nemawar Road, Post Bhavlia Khurd , Vill.- Morodhat, Tehsil- Indore, Distt.- Indore, Madhya Pradesh, Pin Code- 452016",Mayank Welfare Society,Indore,Madhya Pradesh,Private,ANM | GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),40 (Forty) | 100 (Hundred) | 150 (One Hundred Fifty) | 50 (Fifty) Med Surg-15 Paed-10 Obg-10 Psy-10 Chn-05 | 60 (Sixty),400,452016,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Jabalpur|INDIAN INSTITUTE OF NURSING SCIENCE AND RESEARCH,Indian Institute Of Nursing Science And Research,"Indian Institute Of Nursing Science And Research, S-2, Kachnar City, Vijay Nagar, Jabalpur, Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Aasudi Devi Shiksha Samiti,Jabalpur,Madhya Pradesh,Private,B.Sc(N),40 (Forty),40,482002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
Madhya Pradesh|Indore|INDORE NURSING SCHOOL,Indore Nursing School,"Indore Nursing School, Gendalal Bam Parisar, Rau-Pithampur Road, Opposite Iim, Rau., Vill.- Dehari-Rangwasa, Tehsil- Indore, Distt.- Indore, Madhya Pradesh, Pin Code- 453331",Icon Education Society,Indore,Madhya Pradesh,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),50 (Fifty) | 60 (Sixty) | 25 (Twenty Five) | 30 (Thirty),165,453331,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:18.869453
