sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
2,Holy Family School Of Nursing,"Holy Family School Of Nursing, C/O Holy Family Hospital P.O.-Koderma , Koderma, Distt.- Koderma, Jharkhand, Pin Code- 825410",The Koderma Holy Family Hospital,Koderma,Jharkhand,Private,ANM,20 (Twenty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
3,Imperial College Of Nursing,"Imperial College Of Nursing, At-Jamuwadag, Khunti, Distt.- Khunti, Jharkhand, Pin Code- 835210",Nirmala Devi Educational Trust,Khunti,Jharkhand,Private,B.Sc(N),60 (Sixty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
4,Institute Of Medical Sciences And Health,"Institute Of Medical Sciences And Health, Gutwa Toli, Hurhuri, Ratu, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835222",Mata Tetri Devi Memorial Education Trust,Ranchi,Jharkhand,Private,B.Sc(N),40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
5,J P College Of Nursing,"J P College Of Nursing, Bye Pass Baliapur Road, Kolakushma, Manjhladih,Saraidhela, Dhanbad, Distt.- Dhanbad, Jharkhand, Pin Code- 828109",J P Nursing Foundation,Dhanbad,Jharkhand,Private,GNM,50 (Fifty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
6,Jainendra Nursing College,"Jainendra Nursing College, Nh-33,At- Ukrid,Po-Ukrid,Ps-Ormanjhi,Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 829119",Janjatiya Prashikshan Sansthan,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
7,Jaslok Nursing College,"Jaslok Nursing College, Simliya, Ring Road , Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Jaslok Hospital And Trauma Centre,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
7,Jaslok Nursing College,"Jaslok Nursing College, Simliya, Ring Road , Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Jaslok Hospital And Trauma Centre,Ranchi,Jharkhand,Private,B.Sc(N),40 (Forty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
8,Jasnand Nursing College,"Jasnand Nursing College, Bero Ranchi Jharkhand, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835202",Jagat Gyan Sarowar Santhan,Ranchi,Jharkhand,Private,GNM,60 (Sixty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
9,Jeevan Jyoti School Of Nursing,"Jeevan Jyoti School Of Nursing, Near Tata Motors Hospital, Telco Town, Jamshedpur, Distt.- East Singhbhum, Jharkhand, Pin Code- 831004",Society Of Jesus Mary Joseph Of Raipur,East Singhbhum,Jharkhand,Private,GNM,25 (Twenty Five),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
10,Jharkhand Nursing College,"Jharkhand Nursing College , Mata Vaishno Devi Nagar Phase-I Pundag Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834004",Life Save Trust,Ranchi,Jharkhand,Private,ANM,30 (Thirty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
10,Jharkhand Nursing College,"Jharkhand Nursing College , Mata Vaishno Devi Nagar Phase-I Pundag Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834004",Life Save Trust,Ranchi,Jharkhand,Private,GNM,50 (Fifty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
10,Jharkhand Nursing College,"Jharkhand Nursing College , Mata Vaishno Devi Nagar Phase-I Pundag Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834004",Life Save Trust,Ranchi,Jharkhand,Private,B.Sc(N),50 (Fifty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
11,Kalawati School Of Nursing,"Kalawati School Of Nursing, At P.O - Kamre, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835222",Deshbandhu Astro Vedic Shiksha Deep,Ranchi,Jharkhand,Private,GNM,20 (Twenty),2025-2026,3,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:47.377951
