pseudocode,UDISE_Code,School_Name,State,District,Block,PIN,Match_Status,Match_Method,Evidence_Source,Evidence_URL,Confidence,Verification_Date
6302679,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=6302679,N/A,2026-09-10
3234206,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=3234206,N/A,2026-09-10
2667744,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2667744,N/A,2026-09-10
2398436,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2398436,N/A,2026-09-10
5004881,32050200807,GMLPS MORAYUR,KERALA,MALAPPURAM,KONDOTTY,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=5004881,HIGH,2026-09-10
8542310,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=8542310,N/A,2026-09-10
7195284,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=7195284,N/A,2026-09-10
2981330,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2981330,N/A,2026-09-10
8844622,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=8844622,N/A,2026-09-10
2973977,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2973977,N/A,2026-09-10
2640248,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2640248,N/A,2026-09-10
3294274,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=3294274,N/A,2026-09-10
9474889,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=9474889,N/A,2026-09-10
8397297,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=8397297,N/A,2026-09-10
3265133,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=3265133,N/A,2026-09-10
3472874,19251814701,RAMNAGAR F.P. SCHOOL,WEST BENGAL,PURBA BARDHAMAN,MONGALKOTE,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=3472874,HIGH,2026-09-10
2882398,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2882398,N/A,2026-09-10
2817911,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2817911,N/A,2026-09-10
7877077,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=7877077,N/A,2026-09-10
4648184,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=4648184,N/A,2026-09-10
6515471,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=6515471,N/A,2026-09-10
9992775,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=9992775,N/A,2026-09-10
6793001,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=6793001,N/A,2026-09-10
4103354,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=4103354,N/A,2026-09-10
1038422,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=1038422,N/A,2026-09-10
8762243,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=8762243,N/A,2026-09-10
9645038,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=9645038,N/A,2026-09-10
9907157,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=9907157,N/A,2026-09-10
3309288,18240121601,PASCHIM PATKIJULI LPS,ASSAM,TAMULPUR,TAMULPUR,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=3309288,HIGH,2026-09-10
9876756,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=9876756,N/A,2026-09-10
9639983,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=9639983,N/A,2026-09-10
1968476,09320405301,PS CHIRAIYAPUR,UTTAR PRADESH,AURAIYA,AIRWAKATRA,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=1968476,HIGH,2026-09-10
9484103,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=9484103,N/A,2026-09-10
2888523,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2888523,N/A,2026-09-10
4115533,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=4115533,N/A,2026-09-10
8936841,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=8936841,N/A,2026-09-10
